,model_a,elo_rating
0,gpt-4o-2024-05-13,1318.6516609565347
1,gemini-advanced-0514,1310.0524623237081
2,claude-3-5-sonnet-20240620,1308.3796671307252
3,gemini-1.5-pro-api-0514,1301.261210132287
4,claude-3-opus-20240229,1296.360738990923
5,gemini-1.5-pro-api-0409-preview,1296.1900923911583
6,gpt-4-1106-preview,1283.1725672064465
7,gpt-4-turbo-2024-04-09,1282.7393915013465
8,bard-jan-24-gemini-pro,1278.0649636886715
9,gpt-4-0125-preview,1275.3101687768833
10,yi-large-preview,1271.3402941186714
11,gemini-1.5-flash-api-0514,1263.902222735461
12,gemma-2-27b-it,1248.3164116405283
13,yi-large,1241.889836172189
14,claude-3-sonnet-20240229,1238.4874884167925
15,nemotron-4-340b-instruct,1237.9853779585362
16,reka-core-20240501,1235.1807109191645
17,glm-4-0520,1232.6001697472263
18,command-r-plus,1228.2233217779556
19,gpt-4-0314,1224.466018307896
20,deepseek-coder-v2,1218.3831279519923
21,gemma-2-9b-it,1218.0777667567772
22,qwen2-72b-instruct,1212.395281409594
23,claude-3-haiku-20240307,1210.8989408375464
24,qwen-max-0428,1206.0886809080805
25,reka-flash-preview-20240611,1197.0328222561488
26,glm-4-0116,1196.834601810256
27,claude-1,1191.3782377405248
28,gpt-4-0613,1187.4671557797633
29,reka-flash-21b-20240226-online,1186.672114923765
30,llama-3-70b-instruct,1185.1268290791872
31,command-r,1184.7816976729966
32,reka-flash-21b-20240226,1181.813497956932
33,gpt-3.5-turbo-0314,1181.6982089740568
34,qwen1.5-110b-chat,1179.2747059267479
35,mistral-large-2402,1176.2958184569623
36,gemini-pro-dev-api,1174.320030984496
37,claude-2.0,1172.8974605981864
38,qwen1.5-72b-chat,1168.3270049762612
39,mixtral-8x22b-instruct-v0.1,1166.482324394739
40,mistral-medium,1163.2422082041444
41,claude-2.1,1160.7880533245207
42,yi-1.5-34b-chat,1160.3876427646387
43,gpt-3.5-turbo-0613,1159.8475553886137
44,mistral-next,1151.4363560732024
45,qwen1.5-32b-chat,1149.969007381631
46,zephyr-orpo-141b-A35b-v0.1,1142.8220908779258
47,claude-instant-1,1139.924962835114
48,llama-3-8b-instruct,1139.525705750709
49,starling-lm-7b-beta,1138.9679700035933
50,phi-3-medium-4k-instruct,1137.067909543098
51,gpt-3.5-turbo-0125,1135.732820834825
52,gemini-pro,1131.906272671
53,qwen1.5-14b-chat,1130.2348785436334
54,wizardlm-70b,1117.107825461831
55,yi-34b-chat,1116.6187405851701
56,snowflake-arctic-instruct,1115.4037619777987
57,mixtral-8x7b-instruct-v0.1,1114.0
58,openchat-3.5-0106,1108.4674336805194
59,dbrx-instruct-preview,1107.0200648565492
60,phi-3-small-8k-instruct,1105.6517003928243
61,tulu-2-dpo-70b,1104.2610325876801
62,deepseek-llm-67b-chat,1100.7832928447829
63,gpt-3.5-turbo-1106,1100.2452657654508
64,qwen1.5-7b-chat,1099.8472562845172
65,llama2-70b-steerlm-chat,1098.7520874002473
66,openchat-3.5,1098.4009582453705
67,pplx-70b-online,1096.9353291338075
68,gemma-1.1-7b-it,1093.6274088208083
69,starling-lm-7b-alpha,1093.1210486050913
70,vicuna-33b,1089.7521514472865
71,llama-2-70b-chat,1081.9746710538416
72,nous-hermes-2-mixtral-8x7b-dpo,1079.3110274814308
73,qwen-14b-chat,1075.57926252313
74,vicuna-13b,1067.946008575253
75,wizardlm-13b,1067.2115875949348
76,phi-3-mini-4k-instruct,1065.8085590697174
77,openhermes-2.5-mistral-7b,1063.130495757269
78,llama-2-13b-chat,1060.4250566849523
79,dolphin-2.2.1-mistral-7b,1052.8182333618333
80,mistral-7b-instruct-v0.2,1052.0374282381072
81,codellama-34b-instruct,1050.3081007076862
82,solar-10.7b-instruct-v1.0,1050.1090438860356
83,phi-3-mini-128k-instruct,1044.2780901586532
84,pplx-7b-online,1043.9925119164134
85,gemma-7b-it,1043.2247586024705
86,codellama-70b-instruct,1040.0800307735085
87,falcon-180b-chat,1037.8597372455276
88,vicuna-7b,1037.7041185825083
89,gemma-1.1-2b-it,1035.278644012869
90,zephyr-7b-beta,1033.608954412749
91,zephyr-7b-alpha,1032.614639225383
92,mpt-30b-chat,1030.1112942194522
93,qwen1.5-4b-chat,1022.811534620043
94,guanaco-33b,1018.5850972096638
95,llama-2-7b-chat,1014.3974538641563
96,stripedhyena-nous-7b,1011.1891370093432
97,olmo-7b-instruct,1002.4360546491574
98,gemma-2b-it,998.142323641001
99,mistral-7b-instruct,988.5614718956936
100,palm-2,962.1553267684881
101,chatglm3-6b,956.4418227410061
102,RWKV-4-Raven-14B,951.8098058810472
103,mpt-7b-chat,945.9437799459034
104,koala-13b,939.7341839743907
105,chatglm-6b,935.6716174555118
106,gpt4all-13b-snoozy,908.2474321095245
107,chatglm2-6b,904.6278830033382
108,alpaca-13b,903.947977805713
109,oasst-pythia-12b,879.0501674656018
110,dolly-v2-12b,860.2788693398834
111,llama-13b,848.1358510788878
112,stablelm-tuned-alpha-7b,842.6100465191062
113,fastchat-t5-3b,811.0574700619986
